year,departamento,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,AMAZONAS,"Trastornos de la glandula tiroides, endocrinas y otras metabolicas",2,23,21,91.30434782608695,0.08695652173913043
2017,AMAZONAS,"Trastornos de la vesícula biliar, vias biliares y del pancreas",4,16,12,75.0,0.25
2017,AMAZONAS,Trastornos endocrinos y metabolicos del feto y del recien nacido,1,0,-1,,
2017,AMAZONAS,Trastornos mentales y del comportamiento,6,9,3,33.33333333333333,0.6666666666666666
2017,AMAZONAS,Trastornos respiratorios específicos del periodo perinatal,2,22,20,90.9090909090909,0.09090909090909091
2017,AMAZONAS,Trastornos respiratorios no especificados,1,11,10,90.9090909090909,0.09090909090909091
2017,AMAZONAS,Tuberculosis,2,4,2,50.0,0.5
2017,ANCASH,Accidentes de transporte terrestre,85,49,-36,-73.46938775510205,1.7346938775510203
2017,ANCASH,Accidentes por Ahogamiento y sumersión,6,25,19,76.0,0.24
2017,ANCASH,Accidentes por fuerzas de la naturaleza,3,2,-1,-50.0,1.5
2017,ANCASH,Accidentes por otro tipo de transporte,6,24,18,75.0,0.25
2017,ANCASH,Accidentes que obstruyen la respiración,2,58,56,96.55172413793103,0.034482758620689655
2017,ANCASH,Afecciones de la pleura,70,9,-61,-677.7777777777777,7.777777777777778
2017,ANCASH,"Anemias hemoliticas, aplasticas y otras anemias",23,27,4,14.814814814814813,0.8518518518518519
2017,ANCASH,Aneurimas,2,8,6,75.0,0.25
2017,ANCASH,"Apendicitis, hernia de la cavidad abdominal y obstrucción intestinal",28,68,40,58.82352941176471,0.4117647058823529
2017,ANCASH,Arteriosclerosis,1,0,-1,,
2017,ANCASH,Asma,4,20,16,80.0,0.2
2017,ANCASH,Caídas,4,12,8,66.66666666666666,0.3333333333333333
2017,ANCASH,Ciertas enfermedades inmunoprevenibles,1,0,-1,,
2017,ANCASH,Cirrosis y ciertas otras enfermedades crónicas del hígado,79,239,160,66.94560669456067,0.3305439330543933
2017,ANCASH,Defectos de la coagulación en organos hematopoyeticos y trastornos que afectan al mecanismo de la inmunidad,2,16,14,87.5,0.125
2017,ANCASH,Deficiencias nutricionales y anemias nutricionales,89,88,-1,-1.1363636363636365,1.0113636363636365
2017,ANCASH,Diabetes mellitus,59,162,103,63.580246913580254,0.36419753086419754
2017,ANCASH,Edema Pulmonar,11,25,14,56.00000000000001,0.44
2017,ANCASH,Edema cerebral,22,44,22,50.0,0.5
2017,ANCASH,"Embolia, trombosis arteriales y otros trastornos arteriales o arteriolares",4,4,0,0.0,1.0
2017,ANCASH,"Encefalitis, mielitis y encefalomielitis",4,16,12,75.0,0.25
2017,ANCASH,"Enfermedad cardiopulmonar, enfermedades de la circulación pulmonar",7,70,63,90.0,0.1
2017,ANCASH,Enfermedad de Alzheimer,3,13,10,76.92307692307693,0.23076923076923078
2017,ANCASH,Enfermedad del parkinson,4,21,17,80.95238095238095,0.19047619047619047
2017,ANCASH,Enfermedad por el VIH (SIDA),8,33,25,75.75757575757575,0.24242424242424243
2017,ANCASH,Enfermedad pulmonar intersticial,116,329,213,64.74164133738601,0.3525835866261398
2017,ANCASH,Enfermedad pulmonar obstructiva cronica (EPOC),82,144,62,43.05555555555556,0.5694444444444444
2017,ANCASH,Enfermedades cerebrovasculares,95,351,256,72.93447293447294,0.2706552706552707
2017,ANCASH,Enfermedades de la piel,23,34,11,32.35294117647059,0.6764705882352942
2017,ANCASH,"Enfermedades del esofago, estomago y del duodeno",33,37,4,10.81081081081081,0.8918918918918919
2017,ANCASH,"Enfermedades del peritoneo, peritonitis y otros",4,20,16,80.0,0.2
2017,ANCASH,Enfermedades del pulmon debidas a agentes externos,22,53,31,58.490566037735846,0.41509433962264153
2017,ANCASH,Enfermedades del sistema urinario,32,76,44,57.89473684210527,0.42105263157894735
